"short_name_chr","long_name_chr","plural_lgl"
"1L","length one",FALSE
"1L_chr","character vector of length one",FALSE
"1L_chr_ls","list of character vectors of length one",FALSE
"1L_chr_r4","ready4 S4 collection of character vectors of length one",FALSE
"1L_dbl","double vector of length one",FALSE
"1L_dbl_ls","list of double vectors of length one",FALSE
"1L_dbl_r4","ready4 S4 collection of double vectors of length one",FALSE
"1L_dtm","date vector of length one",FALSE
"1L_dtm_ls","list of date vectors of length one",FALSE
"1L_dtm_r4","ready4 S4 collection of date vectors of length one",FALSE
"1L_fct","factor vector of length one",FALSE
"1L_fct_ls","list of factor vectors of length one",FALSE
"1L_fct_r4","ready4 S4 collection of factor vectors of length one",FALSE
"1L_int","integer vector of length one",FALSE
"1L_int_ls","list of integer vectors of length one",FALSE
"1L_int_r4","ready4 S4 collection of integer vectors of length one",FALSE
"1L_lgl","logical vector of length one",FALSE
"1L_lgl_ls","list of logical vectors of length one",FALSE
"1L_lgl_r4","ready4 S4 collection of logical vectors of length one",FALSE
"1L_rgx","regular expression vector of length one",FALSE
"1L_rgx_ls","list of regular expression vectors of length one",FALSE
"1L_rgx_r4","ready4 S4 collection of regular expression vectors of length one",FALSE
"1Ls","length ones",TRUE
"abbr","abbreviation",FALSE
"abbrs","abbreviations",TRUE
"adol","adolescent",FALSE
"adol6d","Assessment of Quality of Life Six Dimension (Adolescent version)",NA
"adols","adolescents",TRUE
"alg","algorithm",FALSE
"algs","algorithms",TRUE
"aqol","Assessment of Quality of Life",NA
"aqol6d","Assessment of Quality of Life Six Dimension",NA
"aqol6dU","Assessment of Quality of Life Six Dimension Health Utility",NA
"arg","argument",FALSE
"args","arguments",TRUE
"arr","array",FALSE
"arr_ls","list of arrays",FALSE
"arr_r3","ready4 S3 extension of array",FALSE
"arr_r3_ls","list of ready4 S3 extension of arrays",FALSE
"arr_r3_r4","ready4 S4 collection of ready4 S3 extension of arrays",FALSE
"arr_r4","ready4 S4 collection of arrays",FALSE
"artl","article",FALSE
"artls","articles",TRUE
"auto","automatic",FALSE
"autos","automatics",TRUE
"bl","baseline",FALSE
"bls","baselines",TRUE
"bnml","binomial",FALSE
"bnmls","binomials",TRUE
"brm","bayesian regression model",FALSE
"brms","bayesian regression models",TRUE
"cdn","condition",FALSE
"cdns","conditions",TRUE
"chkr","checker",FALSE
"chkrs","checkers",TRUE
"chr","character vector",FALSE
"chr_ls","list of character vectors",FALSE
"chr_r3","ready4 S3 extension of character vector",FALSE
"chr_r3_ls","list of ready4 S3 extension of character vectors",FALSE
